feature,value,absolute_value
previous_cgpa_ordinal,0.08729334252456368,0.08729334252456368
repeated_course_count_current,0.08127931092710117,0.08127931092710117
previous_failed_course_count,0.07637695765389332,0.07637695765389332
previous_term_gpa_ordinal,0.07385438288295215,0.07385438288295215
attendance_rate,0.057447045401969696,0.057447045401969696
registered_credits,0.05483034897328082,0.05483034897328082
total_course_event_clicks,0.052549927115445566,0.052549927115445566
absence_count,0.05037044228178368,0.05037044228178368
registered_course_count,0.03831771806771086,0.03831771806771086
year_level_4,0.03726946250408579,0.03726946250408579
largest_inactivity_days,0.03638109486151237,0.03638109486151237
year_level_1,0.035335747703809844,0.035335747703809844
active_days_rate,0.03500471078484165,0.03500471078484165
zero_activity_days,0.03321386676474694,0.03321386676474694
active_days_numeric,0.029107973338461327,0.029107973338461327
enrolled_course_count,0.02818244189686603,0.02818244189686603
assessment_interaction_events_ordinal,0.02167727197746091,0.02167727197746091
programme_or_school_Bachelor of Engineering,0.021502630911678394,0.021502630911678394
previous_academic_standing_Good Standing,0.019319039363919013,0.019319039363919013
learning_material_events_ordinal,0.018817666049397094,0.018817666049397094
accessed_course_count,0.015993903362415945,0.015993903362415945
previous_repeated_course_count,0.012790312561665854,0.012790312561665854
programme_or_school_Bachelor of Information and Communications Technology,0.012785521102972666,0.012785521102972666
year_level_2,0.01104432791234913,0.01104432791234913
course_access_rate,0.010833992509306074,0.010833992509306074
year_level_3,0.010060067634455161,0.010060067634455161
programme_or_school_Bachelor of Business,0.007989030772765453,0.007989030772765453
previous_academic_standing_Academic Probation 1,0.007949668855124355,0.007949668855124355
previous_withdrawn_course_count,0.006306758745166711,0.006306758745166711
programme_or_school_Bachelor of International Logistics Management,0.0047468438635523465,0.0047468438635523465
programme_or_school_Bachelor of Web Media,0.003791463597903768,0.003791463597903768
programme_or_school_Bachelor of Film and Animation,0.0031822159740483515,0.0031822159740483515
previous_academic_standing_Academic Probation 3,0.00293636845122015,0.00293636845122015
previous_academic_standing_Academic Probation 2,0.0009267585452676694,0.0009267585452676694
previous_academic_standing_Probation/Dismissed,0.0005313841263061957,0.0005313841263061957
