case_id,test_position,predicted_risk_probability,predicted_risk_band,predicted_label,actual_label
TEST_CASE_0085,84,1.0,High,1,1
TEST_CASE_0724,723,0.9966666666666667,High,1,1
TEST_CASE_0561,560,0.99,High,1,1
TEST_CASE_0281,280,0.9833333333333333,High,1,1
TEST_CASE_0507,506,0.9833333333333333,High,1,1
TEST_CASE_0122,121,0.9767096496592429,High,1,1
TEST_CASE_0341,340,0.9733632536015104,High,1,1
TEST_CASE_0434,433,0.9666666666666667,High,1,1
TEST_CASE_0524,523,0.96,High,1,1
TEST_CASE_0202,201,0.9533333333333334,High,1,1
TEST_CASE_0210,209,0.9533333333333334,High,1,1
TEST_CASE_0321,320,0.95,High,1,1
TEST_CASE_0025,24,0.9466666666666667,High,1,1
TEST_CASE_0589,588,0.9466666666666667,High,1,1
TEST_CASE_0230,229,0.9433333333333334,High,1,1
TEST_CASE_0664,663,0.9433333333333334,High,1,1
TEST_CASE_0223,222,0.9433333333333334,High,1,1
TEST_CASE_0457,456,0.94,High,1,1
TEST_CASE_0634,633,0.94,High,1,1
TEST_CASE_0124,123,0.9366666666666666,High,1,1
