intervention_type,feature,conservative,moderate,strong,constraint
Attendance support,attendance_rate,+5 points,+10 points,+15 points,Maximum 100
Attendance support,absence_count,Reduce 10%,Reduce 20%,Reduce 30%,Minimum 0
Moodle engagement support,accessed_course_count,+1,+1,+2,Cannot exceed enrolled courses
Moodle engagement support,course_access_rate,Recalculate,Recalculate,Recalculate,0 to 1
Moodle engagement support,total_course_event_clicks,+10%,+20%,+30%,Cap at training percentile 99
Moodle engagement support,active_days_numeric,+2,+4,+6,Maximum 34
Moodle engagement support,active_days_rate,Recalculate,Recalculate,Recalculate,0 to 1
Moodle engagement support,zero_activity_days,Recalculate,Recalculate,Recalculate,0 to 34
Moodle engagement support,largest_inactivity_days,-1,-3,-5,Minimum 0
Moodle engagement support,learning_material_events_ordinal,+1,+1,+2,Maximum 4
Tutoring and academic support,assessment_interaction_events_ordinal,+1,+1,+2,Maximum 4
Tutoring and academic support,learning_material_events_ordinal,+1,+1,+2,Maximum 4
Tutoring and academic support,total_course_event_clicks,+5%,+10%,+15%,Cap at training percentile 99
Tutoring and academic support,active_days_numeric,+1,+2,+3,Maximum 34
Workload adjustment,registered_course_count,No change,-1,-2,Minimum 1
Workload adjustment,registered_credits,No change,Reduce proportionally,Reduce proportionally,Minimum valid load
Workload adjustment,enrolled_course_count,No change,-1,-2,Minimum 1
Academic counselling,No direct feature,No direct change,No direct change,No direct change,Requires linked measurable support
Referral and coordinated review,No direct feature,No direct change,No direct change,No direct change,Requires linked measurable support
