feature,mean_absolute_shap
previous_cgpa_ordinal,0.06716129033566107
repeated_course_count_current,0.062388423745045975
previous_term_gpa_ordinal,0.057805557256197064
previous_failed_course_count,0.05295215403926349
year_level_4,0.04797184109436583
year_level_1,0.045780348682022985
registered_credits,0.035915774273334054
registered_course_count,0.03519817341841248
programme_or_school_Bachelor of Engineering,0.02903806860251739
enrolled_course_count,0.020903821542837545
attendance_rate,0.015579869106528213
previous_academic_standing_Good Standing,0.014754283640345806
absence_count,0.012290907061235173
programme_or_school_Bachelor of Information and Communications Technology,0.012253464180136103
active_days_rate,0.010382868417075808
total_course_event_clicks,0.009079094636099917
zero_activity_days,0.008872143512768863
active_days_numeric,0.00845676487850128
largest_inactivity_days,0.008296305968083163
assessment_interaction_events_ordinal,0.007181403664642574
accessed_course_count,0.006693634221255517
year_level_2,0.0058935537822954066
learning_material_events_ordinal,0.005799762616106917
previous_repeated_course_count,0.005053600690830628
programme_or_school_Bachelor of Business,0.0043884424330415854
previous_academic_standing_Academic Probation 1,0.003705551011756308
course_access_rate,0.0036548045709559446
year_level_3,0.003552299846211597
previous_academic_standing_Academic Probation 3,0.0014883457790504488
previous_withdrawn_course_count,0.0013398852339058399
programme_or_school_Bachelor of Web Media,0.0011836888954435154
programme_or_school_Bachelor of International Logistics Management,0.0011454431099835966
programme_or_school_Bachelor of Film and Animation,0.0008721792252962369
previous_academic_standing_Academic Probation 2,0.0002728507805162475
previous_academic_standing_Probation/Dismissed,0.00013713819565406882
